wavelength,k_ext,Av,Ak
0.1367496,35927.19533,2.480079452,13.65181693
0.1368851,35914.96805,2.479235395,13.64717074
0.1370208,35902.71137,2.478389307,13.64251338
0.1371566,35890.50006,2.477546352,13.63787326
0.1372925,35878.30869,2.476704773,13.63324071
0.1374285,35866.03034,2.47585719,13.62857512
0.1375647,35853.99041,2.475026066,13.62400012
0.137701,35841.8405,2.474187348,13.61938332
0.1378375,35829.74656,2.473352495,13.6147878
0.1379741,35817.70693,2.472521391,13.61021291
0.1381108,35805.94936,2.471709758,13.60574521
0.1382476,35794.81805,2.470941356,13.60151547
0.1383846,35782.87385,2.470116839,13.59697685
0.1385218,35771.79578,2.469352112,13.59276734
0.138659,35759.84745,2.468527311,13.58822715
0.1387964,35748.3852,2.467736064,13.58387166
0.138934,35736.93623,2.466945733,13.57952121
0.1390717,35725.85613,2.466180866,13.57531093
0.1392095,35714.79787,2.465417507,13.57110895
0.1393474,35704.08215,2.464677793,13.56703713
0.1394855,35692.98986,2.463912084,13.56282222
0.1396237,35682.58863,2.46319408,13.55886991
0.1397621,35672.01317,2.462464049,13.55485138
0.1399006,35662.54807,2.461810666,13.55125478
0.1400392,35651.5734,2.461053078,13.54708457
0.140178,35642.56063,2.46043092,13.54365984
0.1403169,35631.23942,2.459649408,13.53935795
0.1404559,35622.62204,2.459054545,13.53608347
0.1405951,35610.89297,2.458244879,13.53162659
0.1407344,35602.12615,2.457639699,13.52829532
0.1408739,35590.79811,2.456857716,13.52399083
0.1410135,35582.01652,2.456251517,13.52065395
0.1411532,35571.04716,2.455494295,13.51648575
0.1412931,35562.47053,2.454902244,13.51322676
0.1414331,35553.04404,2.454251527,13.50964483
0.1415733,35546.17876,2.453777612,13.50703612
0.1417136,35537.09057,2.453150247,13.50358274
0.141854,35531.12421,2.452738386,13.50131561
0.1419946,35522.86324,2.452168125,13.49817656
0.1421353,35515.18907,2.451638372,13.49526048
0.1422761,35507.33166,2.451095969,13.49227478
0.1424171,35499.75542,2.450572976,13.48939592
0.1425582,35491.06436,2.449973026,13.48609344
